Rank,CCA3,Country/Territory,Capital,Continent,2022,2020,2015,2010,2000,1990,1980,1970,Area (km²),Density (per km²),Growth Rate,World,Growth_from_1970_to_2022,Growth_from_1970_to_2020,Growth_from_1970_to_2015,Growth_from_1970_to_2010,Growth_from_1970_to_2000,Growth_from_1970_to_1990,Growth_from_1970_to_1980
173,MLT,Malta,Valletta,Europe,533286,515357,456579,418755,399212,365392,333587,315414,316,1687.6139,1.0124,0.01,217872,199943,141165,103341,83798,49978,18173
215,MHL,Marshall Islands,Majuro,Oceania,41569,43413,49410,53416,54224,46047,31988,23969,181,229.663,0.9886,0.0,17600,19444,25441,29447,30255,22078,8019
180,MTQ,Martinique,Fort-de-France,North America,367507,370391,383515,392181,432543,374271,333786,326428,1128,325.8041,0.9965,0.0,41079,43963,57087,65753,106115,47843,7358
126,MRT,Mauritania,Nouakchott,Africa,4736139,4498604,3946220,3419461,2695003,2006027,1506694,1122198,1030700,4.5951,1.0263,0.06,3613941,3376406,2824022,2297263,1572805,883829,384496
157,MUS,Mauritius,Port Louis,Africa,1299469,1297828,1293153,1283330,1215930,1090290,954865,830115,2040,636.9946,1.0004,0.02,469354,467713,463038,453215,385815,260175,124750
182,MYT,Mayotte,Mamoudzou,Africa,326101,305587,249545,211786,159215,92659,52233,35383,374,871.9278,1.0319,0.0,290718,270204,214162,176403,123832,57276,16850
10,MEX,Mexico,Mexico City,North America,127504125,125998302,120149897,112532401,97873442,81720428,67705186,50289306,1964375,64.9082,1.0063,1.6,77214819,75708996,69860591,62243095,47584136,31431122,17415880
194,FSM,Micronesia,Palikir,Oceania,114164,112106,109462,107588,111709,98603,76299,58989,702,162.6268,1.0091,0.0,55175,53117,50473,48599,52720,39614,17310
135,MDA,Moldova,Chisinau,Europe,3272996,3084847,3277388,3678186,4251573,4480199,4103240,3711140,33846,96.7026,1.0691,0.04,-438144,-626293,-433752,-32954,540433,769059,392100
217,MCO,Monaco,Monaco,Europe,36469,36922,36760,33178,32465,30329,27076,24270,2,18234.5,0.9941,0.0,12199,12652,12490,8908,8195,6059,2806
134,MNG,Mongolia,Ulaanbaatar,Asia,3398366,3294335,2964749,2702520,2450979,2161433,1697780,1293880,1564110,2.1727,1.0151,0.04,2104486,2000455,1670869,1408640,1157099,867553,403900
169,MNE,Montenegro,Podgorica,Europe,627082,629048,633966,631044,633324,621442,589324,530268,13812,45.4012,0.9988,0.01,96814,98780,103698,100776,103056,91174,59056
230,MSR,Montserrat,Brades,North America,4390,4500,5059,4938,5138,10805,11452,11402,102,43.0392,0.9939,0.0,-7012,-6902,-6343,-6464,-6264,-597,50
